,name,address,city,rating,description,link,lon,lat
241,ibis Besançon Centre Ville,"21 rue Gambetta, Besançon",Besancon,8.7,"L'ibis Besançon Centre Ville se trouve dans la vieille ville de Besançon, à 500 mètres de la gare de Viotte et à 20 minutes de marche de la citadelle Vauban ainsi que du musée des beaux-arts. Lire plus…",https://www.booking.com/hotel/fr/ibis-besancon-centre-ville.fr.html?,,
242,Best Western Citadelle,"13 rue du Général Lecourbe, Besançon",Besancon,8.4,"Le Best Western Citadelle est situé dans le centre-ville historique de Besançon, à 5 minutes à pied du Doubs et de la citadelle. Toutes les chambres disposent d'une connexion Wi-Fi gratuite. Lire plus…",https://www.booking.com/hotel/fr/bestwesterncitadelle.fr.html?,,
243,Hôtel de Paris,"33 rue des Granges, Besançon",Besancon,8.8,"Situé dans le centre de Besançon, l'Hôtel de Paris est agrémenté d'un intérieur contemporain. Il propose une réception ouverte 24h/24 et une terrasse. Lire plus…",https://www.booking.com/hotel/fr/de-paris-besanasson.fr.html?,,
244,All Suites Besançon,"17 Avenue des Montboucons, Besançon",Besancon,8.1,"L'Hôtel All Suites Besançon dispose d'un sauna, d'une salle de sport et d'une connexion Wi-Fi gratuite, accessible dans l'ensemble de ses locaux. Lire plus…",https://www.booking.com/hotel/fr/all-suites-besancon.fr.html?,,
245,Zenitude Hôtel-Résidences Les Hauts Du Chazal,"26, rue Paul Milleret, Besançon",Besancon,8.1,"Le Zenitude Hôtel-Résidences Les Hauts Du Chazal est situé à proximité du grand centre commercial Chateaufarineau, à seulement 15 minutes du centre-ville. Lire plus…",https://www.booking.com/hotel/fr/residence-hauts-du-chazal.fr.html?,,
246,Hotel Victor Hugo & Spa,"6, Rue de La Viotte, Besançon",Besancon,8.6,L'Hotel Victor Hugo & Spa propose un hébergement à 50 mètres de la gare de Besançon-Viotte et à seulement 15 minutes à pied du centre-ville historique de Besançon. Lire plus…,https://www.booking.com/hotel/fr/logis-de-france-florel.fr.html?,,
247,Mercure Besancon Parc Micaud,"3 avenue Edouard Droz, Besançon",Besancon,7.3,"Cet hôtel Mercure est situé dans le centre-ville de Besançon, dans les jardins du casino, au bord du Doubs et en face du parc Micaud. Lire plus…",https://www.booking.com/hotel/fr/besancon-parc-micaud.fr.html?,,
248,Hôtel AKENA BESANCON,"Rue Victor Considérant - Parc de L’Echange-Vaux les Prés, Besançon",Besancon,8.8,"Situé à Besançon, à 7 km de Micropolis, l'Hôtel AKENA BESANCON propose un restaurant, un parking privé gratuit, un bar et une terrasse. Lire plus…",https://www.booking.com/hotel/fr/akena-besancon.fr.html?,,
249,ibis Besançon la City,"1 avenue Louise Michel, Besançon",Besancon,7.9,"L’ibis Besançon la City se trouve sur les rives du Doubs, dans le quartier d’affaires La City, à 10 minutes de marche du centre-ville de Besançon et de ses musées. Lire plus…",https://www.booking.com/hotel/fr/ibis-besancon-la-city.fr.html?,,
250,Hôtel Le Sauvage,"6, rue du Chapitre, Besançon",Besancon,9.1,"L'Hôtel Le Sauvage vous accueille dans un ancien monastère des Clarisses, dans le quartier historique de Besançon, à 500 mètres des anciens contreforts de la citadelle. Lire plus…",https://www.booking.com/hotel/fr/ho-tel-le-sauvage-besanasson.fr.html?,,
251,Hotel Restaurant Siatel Chateaufarine,"6 Rue Louis Aragon, Besançon",Besancon,  8,"Doté d’une connexion Wi-Fi gratuite, l’Hotel Restaurant Siatel Chateaufarine propose des hébergements à 7,5 km du centre de Besançon, en Bourgogne-Franche-Comté. Lire plus…",https://www.booking.com/hotel/fr/siatel-chateaufarine.fr.html?,,
252,Hotel Du Nord,"8, rue Moncey, Besançon",Besancon,8.3,"Cet hôtel est situé au cœur de Besançon, à seulement 700 mètres des rives du Doubs. Lire plus…",https://www.booking.com/hotel/fr/du-nord-besancon.fr.html?,,
253,Zenitude Hôtel-Résidences La City,"11 Avenue Louise Michel, Besançon",Besancon,7.9,"Situé à Besançon, le Zenitude Hôtel-Résidences La City propose des studios et des appartements avec connexion Wi-Fi gratuite. Lire plus…",https://www.booking.com/hotel/fr/citea-besancon.fr.html?,,
254,ibis budget Besançon Centre Gare,"5, avenue Maréchal Foch, Besançon",Besancon,7.6,"Situé à Besançon, à seulement 100 mètres de la gare de la Viotte, l'hôtel ibis budget Besançon Centre Gare propose des chambres simples dotées d'une connexion Wi-Fi gratuite et d'un accès 24h/24. Lire plus…",https://www.booking.com/hotel/fr/ibis-budget-besanasson-centre-gare.fr.html?,,
255,Hotel Restaurant Vesontio,"3 Chemin des Founottes, Besançon",Besancon,8.5,"Situé à 5 km du centre-ville de Besançon et du musée des Beaux-Arts, l'Hotel Restaurant Vesontio propose un restaurant climatisé et une salle de réunion. La connexion Wi-Fi est gratuite. Lire plus…",https://www.booking.com/hotel/fr/hotel-restaurant-oxalys.fr.html?,,
256,Premiere Classe Besancon Ecole Valentin,"7 Route d'Epinal, Besançon",Besancon,7.2,"Situé à proximité de l'Alsace et du Jura, cet hôtel est facilement accessible depuis l'autoroute A36. Il est situé dans le village d'Ecole-Valentin, à 5 minutes de route de Besançon. Lire plus…",https://www.booking.com/hotel/fr/premiere-classe-besancon-ecole-valentin.fr.html?,,
257,Hôtel Fontaine Argent - Centre Ville,"23 Avenue Fontaine-Argent, Besançon",Besancon,8.6,"L'Hôtel Fontaine Argent - Centre Ville est un établissement 3 étoiles situé à Besançon, à 7 km de Micropolis et à 1,7 km du musée des beaux-arts et d'archéologie de Besançon. Lire plus…",https://www.booking.com/hotel/fr/fontaine-argent.fr.html?,,
258,Hotel Vauban,"9 Quai Vauban, Besançon",Besancon,8.8,"L'Hotel Vauban vous accueille à Besançon, à 2 minutes à pied du musée des beaux-arts et d'archéologie, et à 18 minutes de marche de la Citadelle. Lire plus…",https://www.booking.com/hotel/fr/vauban-besancon.fr.html?,,
259,Doubs Hotel - Besançon Ecole Valentin,"58, Rue des Maisonnettes - RD 75, Besançon",Besancon,8.4,Le Doubs Hotel - Besançon Ecole Valentin est un hôtel 3 étoiles avec terrasse situé à Besançon. Il bénéficie d'un salon commun et d'une connexion Wi-Fi gratuite. Lire plus…,https://www.booking.com/hotel/fr/besanconecolevalentin.fr.html?,,
260,Odalys City Dijon Les Cordeliers,"3/5, rue Turgot, Dijon",Dijon,8.1,L'Odalys City Dijon Les Cordeliers est situé dans le centre historique de Dijon. Lire plus…,https://www.booking.com/hotel/fr/appart-39-odalys-les-cordeliers.fr.html?,,
261,Hôtel Restaurant initial by balladins Dijon Nord,"4, Rue Des Ardennes, Dijon",Dijon,7.6,"Situé à 12 minutes en voiture du centre-ville de Dijon, l'Hôtel Balladins Dijon Nord possède des chambres climatisées avec connexion Wi-Fi gratuite, des salles de réunion et un restaurant. Lire plus…",https://www.booking.com/hotel/fr/hotel-balladins-dijon-nord-superior.fr.html?,,
262,ibis Dijon Gare,"15 Avenue Albert 1Er, Dijon",Dijon,  8,"L'hôtel ibis Dijon Gare est situé en face de la gare, à seulement 10 minutes à pied du centre-ville historique. Lire plus…",https://www.booking.com/hotel/fr/ibis-dijon-gare.fr.html?,,
263,Hôtel des Halles,"8 rue Montigny, Dijon",Dijon,8.9,"L'Hôtel des Halles vous accueille dans le centre-ville historique de Dijon, à 50 mètres de la zone piétonne et à 300 mètres du marché couvert des halles centrales. Lire plus…",https://www.booking.com/hotel/fr/hotel-des-halles-dijon.fr.html?,,
264,"Holiday Inn Express Dijon, an IHG Hotel","8 Rue de la Glaciere (Saint-Apollinaire), Dijon",Dijon,8.3,"Situé à Saint-Apollinaire, l'Holiday Inn Express Dijon possède une piscine extérieure. Cet établissement climatisé propose une réception ouverte 24h/24, une terrasse bien exposée et un bar. Lire plus…",https://www.booking.com/hotel/fr/holiday-inn-express-dijon.fr.html?,,
265,Hotel ibis Dijon Centre Clemenceau,"2 avenue de Marbotte, Dijon",Dijon,7.9,L’Hotel ibis Dijon Centre Clemenceau vous propose une réception ouverte 24h/24 ainsi que des hébergements climatisés avec télévision par satellite et connexion Wi-Fi gratuite. Lire plus…,https://www.booking.com/hotel/fr/ibis-dijon-centre-clemenceau.fr.html?,,
266,Campanile Dijon Congrès Clemenceau,"16 Avenue Raymond Poincaré, Dijon",Dijon,8.1,"Situé à Dijon, le Campanile Dijon Congrès Clémenceau propose des chambres climatisées et une connexion Wi-Fi gratuite dans tous ses locaux. Lire plus…",https://www.booking.com/hotel/fr/campanile-dijon-congra-s-cla-c-menceau.fr.html?,,
267,Novotel Dijon Route des Grands Crus,"11 Route De Beaune, Dijon",Dijon,7.4,"Situé sur la route des vins de Bourgogne, le Novotel Dijon Route des Grands Crus se trouve à 10 minutes de Dijon, dans la région des vignobles de Marsannay-la-Côte. Lire plus…",https://www.booking.com/hotel/fr/novotel-dijon-sud.fr.html?,,
268,Ethic Etapes Dijon,"1 avenue Champollion, Dijon",Dijon,7.2,"L'Ethic Etapes Dijon est situé à Dijon, à 800 mètres d'une route d'accès à l'autoroute A6 et à 4 km de la gare de Dijon-Ville. Il propose une connexion Wi-Fi gratuite et une réception ouverte 24h/24. Lire plus…",https://www.booking.com/hotel/fr/ethic-etapes-dijon.fr.html?,,
